col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
33,33,33,255,30,30,30,255,0
32,32,32,255,35,35,35,255,0
34,34,34,255,29,29,29,255,0
78,78,78,255,32,32,32,255,0
32,32,32,255,143,143,143,255,0
29,29,29,255,37,37,37,255,0
101,101,101,255,35,35,35,255,0
31,31,31,255,82,82,82,255,0
33,33,33,255,39,39,39,255,0
33,33,33,255,66,66,66,255,0
31,31,31,255,177,177,177,255,0
75,75,75,255,73,73,73,255,0
33,33,33,255,70,70,70,255,0
54,54,54,255,37,37,37,255,0
34,34,34,255,36,36,36,255,0
41,41,41,255,95,95,95,255,0
35,35,35,255,31,31,31,255,0
32,32,32,255,34,34,34,255,0
56,56,56,255,169,169,169,255,0
40,40,40,255,33,33,33,255,0
75,75,75,255,38,38,38,255,0
32,32,32,255,63,63,63,255,0
34,34,34,255,34,34,34,255,0
93,93,93,255,33,33,33,255,0
46,46,46,255,38,38,38,255,0
33,33,33,255,110,110,110,255,0
52,52,52,255,169,169,169,255,0
34,34,34,255,32,32,32,255,0
83,83,83,255,40,40,40,255,0
32,32,32,255,34,34,34,255,0
106,106,106,255,33,33,33,255,0
44,44,44,255,188,188,188,255,0
53,53,53,255,34,34,34,255,0
53,53,53,255,33,33,33,255,0
33,33,33,255,39,39,39,255,0
94,94,94,255,155,155,155,255,0
35,35,35,255,150,150,150,255,0
36,36,36,255,36,36,36,255,0
29,29,29,255,118,118,118,255,0
34,34,34,255,34,34,34,255,0
47,47,47,255,39,39,39,255,0
104,104,104,255,58,58,58,255,0
116,116,116,255,32,32,32,255,0
85,85,85,255,37,37,37,255,0
32,32,32,255,35,35,35,255,0
49,49,49,255,31,31,31,255,0
42,42,42,255,34,34,34,255,0
32,32,32,255,92,92,92,255,0
31,31,31,255,170,170,170,255,0
72,72,72,255,43,43,43,255,0
73,73,73,255,37,37,37,255,0
47,47,47,255,38,38,38,255,0
67,67,67,255,56,56,56,255,0
33,33,33,255,183,183,183,255,0
37,37,37,255,106,106,106,255,0
39,39,39,255,31,31,31,255,0
83,83,83,255,58,58,58,255,0
31,31,31,255,42,42,42,255,0
31,31,31,255,36,36,36,255,0
100,100,100,255,57,57,57,255,0
40,40,40,255,35,35,35,255,0
63,63,63,255,35,35,35,255,0
35,35,35,255,34,34,34,255,0
33,33,33,255,187,187,187,255,0
31,31,31,255,31,31,31,255,0
28,28,28,255,173,173,173,255,0
34,34,34,255,37,37,37,255,0
37,37,37,255,38,38,38,255,0
32,32,32,255,61,61,61,255,0
34,34,34,255,35,35,35,255,0
41,41,41,255,58,58,58,255,0
33,33,33,255,68,68,68,255,0
41,41,41,255,86,86,86,255,0
64,64,64,255,38,38,38,255,0
32,32,32,255,39,39,39,255,0
55,55,55,255,33,33,33,255,0
99,99,99,255,36,36,36,255,0
33,33,33,255,115,115,115,255,0
60,60,60,255,37,37,37,255,0
33,33,33,255,112,112,112,255,0
37,37,37,255,109,109,109,255,0
130,130,130,255,40,40,40,255,0
34,34,34,255,49,49,49,255,0
31,31,31,255,170,170,170,255,0
50,50,50,255,92,92,92,255,0
42,42,42,255,99,99,99,255,0
55,55,55,255,30,30,30,255,0
117,117,117,255,32,32,32,255,0
105,105,105,255,66,66,66,255,0
31,31,31,255,71,71,71,255,0
32,32,32,255,138,138,138,255,0
35,35,35,255,103,103,103,255,0
136,136,136,255,153,153,153,255,0
119,119,119,255,38,38,38,255,0
57,57,57,255,49,49,49,255,0
94,94,94,255,168,168,168,255,0
38,38,38,255,36,36,36,255,0
34,34,34,255,31,31,31,255,0
72,72,72,255,121,121,121,255,0
36,36,36,255,85,85,85,255,0
31,31,31,255,37,37,37,255,0
32,32,32,255,127,127,127,255,0
51,51,51,255,34,34,34,255,0
33,33,33,255,159,159,159,255,0
33,33,33,255,34,34,34,255,0
29,29,29,255,159,159,159,255,0
41,41,41,255,76,76,76,255,0
38,38,38,255,34,34,34,255,0
